Time	Lead II
4.49	0.0265037
4.5	0.0113279
4.51	-0.0127903
4.52	-0.0467831
4.53	-0.0389972
4.54	-0.048641
4.55	-0.0617309
4.56	-0.0644262
4.57	-0.0646614
4.58	-0.0355532
4.59	-0.0261536
4.6	-0.0274928
4.61	-0.0247759
4.62	-0.0241949
4.63	-0.0155731
4.64	-0.025274
4.65	-0.0275911
4.66	-0.0246959
4.67	-0.0329457
4.68	-0.0307348
4.69	-0.042013
4.7	-0.0370465
4.71	-0.0200775
4.72	-0.019126
4.73	-0.0245203
4.74	-0.0428597
4.75	-0.0423477
4.76	-0.03173
4.77	-0.0413511
4.78	-0.0417845
4.79	-0.049722
4.8	-0.0293904
4.81	-0.000743852
4.82	0.0189572
4.83	0.0650074
4.84	0.0869517
4.85	0.0995327
4.86	0.0894002
4.87	0.0505781
4.88	0.0383417
4.89	0.0116671
4.9	-0.0285955
4.91	-0.0651207
4.92	-0.0779199
4.93	-0.0578041
4.94	-0.0719327
4.95	-0.040213
4.96	0.145708
4.97	0.44471
4.98	0.543577
4.99	0.318324
5	0.0082329
5.01	-0.177748
5.02	-0.209204
5.03	-0.161478
5.04	-0.133094
5.05	-0.123566
5.06	-0.102422
5.07	-0.0834886
5.08	-0.0624088
5.09	-0.0644196
5.1	-0.0639219
5.11	-0.0535207
5.12	-0.0375835
5.13	-0.0162627
5.14	-0.0122514
5.15	0.00363947
5.16	0.0264581
5.17	0.053549
5.18	0.109253
5.19	0.144876
5.2	0.176428
5.21	0.198692
5.22	0.206712
5.23	0.209816
5.24	0.178428
5.25	0.139574
5.26	0.0896213
5.27	0.0281837
5.28	-0.00517651
5.29	-0.0335564
5.3	-0.0432912
5.31	-0.0354208
5.32	-0.0414631
5.33	-0.0449601
5.34	-0.0535157
5.35	-0.0502708
5.36	-0.0379296
5.37	-0.040458
5.38	-0.03384
5.39	-0.0402225
5.4	-0.0412942
5.41	-0.0360975
5.42	-0.0330432
5.43	-0.0183518
5.44	-0.0251875
5.45	-0.0331573
5.46	-0.0394988
5.47	-0.0500484
5.48	-0.0397356
5.49	-0.0486234
5.5	-0.0495297
5.51	-0.048703
5.52	-0.0595267
5.53	-0.0679769
5.54	-0.0922215
5.55	-0.0898379
5.56	-0.0792428
5.57	-0.0757428
5.58	-0.0652304
5.59	-0.0746566
5.6	-0.0785784
5.61	-0.0731254
5.62	-0.0734268
5.63	-0.0577086
5.64	-0.0670116
5.65	-0.0686521
5.66	-0.0637497
5.67	-0.0743782
5.68	-0.0777064
5.69	-0.069822
5.7	-0.0552206
5.71	-0.0563266
5.72	-0.0635871
5.73	-0.0504142
5.74	-0.0469713
5.75	-0.0341489
5.76	-0.0142232
5.77	0.00675661
5.78	0.0493339
5.79	0.0601531
5.8	0.0549822
5.81	0.0484596
5.82	0.0183132
5.83	-0.00808784
5.84	-0.0461143
5.85	-0.0705544
5.86	-0.0967118
5.87	-0.102101
5.88	-0.0671385
5.89	0.00467678
5.9	0.195571
5.91	0.455142
5.92	0.502406
5.93	0.268235
5.94	-0.0453485
5.95	-0.216447
5.96	-0.205903
5.97	-0.137985
5.98	-0.0935384
5.99	-0.0945173
6	-0.0936816
6.01	-0.0713431
6.02	-0.0536437
6.03	-0.0393429
6.04	-0.0444578
6.05	-0.0219237
6.06	0.00804442
6.07	0.0157008
6.08	0.0322575
6.09	0.043256
6.1	0.061616
6.11	0.111437
6.12	0.141458
6.13	0.182405
6.14	0.212319
6.15	0.241245
6.16	0.271231
6.17	0.244434
6.18	0.200684
6.19	0.159902
6.2	0.128122
6.21	0.0967604
6.22	0.0466381
6.23	0.0245763
6.24	0.00314698
6.25	-0.0186205
6.26	-0.0176659
6.27	-0.0185125
6.28	-0.0116391
6.29	-0.0186486
6.3	-0.0168806
6.31	-0.00539527
6.32	-0.0067439
6.33	0.00305292
6.34	0.00159954
6.35	-0.00373059
6.36	-0.00495847
6.37	-0.0182682
6.38	-0.0103778
6.39	-0.00665469
6.4	-0.00947435
6.41	-0.0196465
6.42	-0.0390577
6.43	-0.0245505
6.44	-0.0226841
6.45	-0.0247804
6.46	-0.0234386
6.47	-0.0375659
6.48	-0.035945
6.49	-0.0380852
6.5	-0.0562529
6.51	-0.0617081
6.52	-0.0642555
6.53	-0.0594501
6.54	-0.0653876
6.55	-0.0654851
6.56	-0.0588532
6.57	-0.0802406
6.58	-0.0778976
6.59	-0.0723864
6.6	-0.0705424
6.61	-0.064007
6.62	-0.0722761
6.63	-0.0687806
6.64	-0.0748477
6.65	-0.0686527
6.66	-0.0566142
6.67	-0.0568829
6.68	-0.0432754
6.69	-0.043728
6.7	-0.0464878
6.71	-0.0220933
6.72	0.000489262
6.73	0.0430789
6.74	0.0655804
6.75	0.065168
6.76	0.0607225
6.77	0.0271148
6.78	0.0067313
6.79	-0.0229749
6.8	-0.0660833
6.81	-0.0780802
6.82	-0.0910755
6.83	-0.106422
6.84	-0.0939931
6.85	0.0384668
6.86	0.326337
6.87	0.523913
6.88	0.430666
6.89	0.1432
6.9	-0.111593
6.91	-0.198175
6.92	-0.179429
6.93	-0.128528
6.94	-0.09821
6.95	-0.0619531
6.96	-0.0296071
6.97	-0.0402085
6.98	-0.0288565
6.99	-0.0219262
7	-0.0256454
7.01	-0.0224597
7.02	-0.0173355
7.03	-0.00183231
7.04	0.0119074
7.05	0.0412293
7.06	0.0746367
7.07	0.0838595
7.08	0.115663
7.09	0.131455
7.1	0.153858
7.11	0.186076
7.12	0.185867
7.13	0.188834
7.14	0.154304
7.15	0.0953012
7.16	0.0470939
7.17	-0.0154918
7.18	-0.0479538
7.19	-0.0722179
7.2	-0.0972484
7.21	-0.0989564
7.22	-0.0997176
7.23	-0.0981388
7.24	-0.0965523
7.25	-0.0944723
7.26	-0.086896
7.27	-0.0846093
7.28	-0.0625112
7.29	-0.0598169
7.3	-0.0747119
7.31	-0.0645982
7.32	-0.0628042
7.33	-0.0660334
7.34	-0.0735593
7.35	-0.0829905
7.36	-0.0947105
7.37	-0.106278
7.38	-0.0904035
7.39	-0.0910691
7.4	-0.0934707
7.41	-0.0815519
7.42	-0.0856643
7.43	-0.0886944
7.44	-0.0957281
7.45	-0.0992988
7.46	-0.10586
7.47	-0.127834
7.48	-0.109079
7.49	-0.0984614
7.5	-0.099661
7.51	-0.0998145
7.52	-0.116444
7.53	-0.106102
7.54	-0.107029
7.55	-0.110062
7.56	-0.0819988
7.57	-0.0443412
7.58	-0.00152791
7.59	0.00526892
7.6	0.00410688
7.61	0.0131198
7.62	-0.0184523
7.63	-0.0579423
7.64	-0.100482
7.65	-0.133302
7.66	-0.145595
7.67	-0.160122
7.68	-0.154008
7.69	-0.128289
7.7	-0.00146686
7.71	0.281465
7.72	0.470226
7.73	0.357565
7.74	0.0542064
7.75	-0.191382
7.76	-0.273638
7.77	-0.271497
7.78	-0.221004
7.79	-0.180879
7.8	-0.150849
7.81	-0.118982
7.82	-0.116206
7.83	-0.114534
7.84	-0.107197
7.85	-0.0989986
7.86	-0.0876379
7.87	-0.0897032
7.88	-0.0645012
7.89	-0.0403033
7.9	-0.0204199
7.91	0.0115927
7.92	0.0470761
7.93	0.100277
7.94	0.132531
7.95	0.155283
7.96	0.186404
7.97	0.188837
7.98	0.170034
7.99	0.121756
8	0.0668596
8.01	0.0326328
8.02	-0.00863536
8.03	-0.0295161
8.04	-0.0399414
8.05	-0.0512528
8.06	-0.0547247
8.07	-0.0686729
8.08	-0.0603544
8.09	-0.0577476
8.1	-0.0584848
8.11	-0.0398241
8.12	-0.0282158
8.13	-0.013074
8.14	-0.0157355
8.15	-0.0214788
8.16	-0.00217889
8.17	0.00390523
8.18	0.0101613
8.19	0.00308315
8.2	-0.0107029
8.21	-0.00773626
8.22	-0.0141236
8.23	-0.0130743
8.24	-0.0142168
8.25	-0.0241389
8.26	-0.0219139
8.27	-0.0190249
8.28	-0.00409373
8.29	-0.0101111
8.3	-0.0167252
8.31	-0.000387035
8.32	-0.00959429
8.33	-0.00811728
8.34	0.00452517
8.35	0.00379741
8.36	0.00347996
8.37	0.000431489
8.38	0.00994732
8.39	0.0148025
8.4	0.00678075
8.41	0.0164712
8.42	0.0274198
8.43	0.042154
8.44	0.044444
8.45	0.0526915
8.46	0.0842853
8.47	0.107629
8.48	0.137834
8.49	0.151127
8.5	0.144837
8.51	0.132838
8.52	0.0935835
8.53	0.0678767
8.54	0.0376236
8.55	0.0033616
8.56	-0.0118586
8.57	-0.0338831
8.58	-0.035677
8.59	0.0495032
8.6	0.277489
8.61	0.556011
8.62	0.551635
8.63	0.270153
8.64	-0.0343062
8.65	-0.160955
8.66	-0.142874
8.67	-0.111062
8.68	-0.0760842
8.69	-0.051428
8.7	-0.0429704
8.71	-0.0383922
8.72	-0.030572
8.73	0.0022884
8.74	0.0125577
8.75	0.00235603
8.76	0.0224481
8.77	0.0319252
8.78	0.0444338
8.79	0.0606343
8.8	0.0910854
8.81	0.131162
8.82	0.151608
8.83	0.195335
8.84	0.242124
8.85	0.274699
8.86	0.289089
8.87	0.262274
8.88	0.228789
8.89	0.17441
8.9	0.107289
8.91	0.0610074
8.92	0.0121499
8.93	-0.00811035
8.94	-0.0200267
8.95	-0.0311071
8.96	-0.0296029
8.97	-0.0440539
8.98	-0.0520146
8.99	-0.0539413
9	-0.0479697
9.01	-0.0401722
9.02	-0.0473191
9.03	-0.0482823
9.04	-0.0517861
9.05	-0.0380156
9.06	-0.0247777
9.07	-0.0448021
9.08	-0.0492057
9.09	-0.0557023
9.1	-0.0685028
9.11	-0.0544532
9.12	-0.0505317
9.13	-0.0525336
9.14	-0.0556144
9.15	-0.0480321
9.16	-0.0346198
9.17	-0.0425249
9.18	-0.0423245
9.19	-0.0472374
9.2	-0.0541212
9.21	-0.0553547
9.22	-0.0717354
9.23	-0.06058
9.24	-0.053549
9.25	-0.0544838
9.26	-0.0425043
9.27	-0.0362767
9.28	-0.0303608
9.29	-0.0463025
9.3	-0.0584112
9.31	-0.0465416
9.32	-0.0572744
9.33	-0.0615881
9.34	-0.0561652
9.35	-0.057584
9.36	-0.0505164
9.37	-0.0434715
9.38	-0.0346624
9.39	-0.0314863
9.4	-0.0149471
9.41	0.0267775
9.42	0.0522802
9.43	0.0778442
9.44	0.0817177
9.45	0.060919
9.46	0.0404287
9.47	0.00243391
9.48	-0.0273274
9.49	-0.0599941
9.5	-0.0805015
9.51	-0.0788995
9.52	-0.0899273
9.53	-0.0605286
9.54	0.0559283
9.55	0.303205
9.56	0.521157
9.57	0.420325
9.58	0.120687
9.59	-0.132625
9.6	-0.212191
9.61	-0.173122
9.62	-0.129942
9.63	-0.0914801
9.64	-0.0802267
9.65	-0.0818951
9.66	-0.0751073
9.67	-0.0786866
9.68	-0.0570198
9.69	-0.0462463
9.7	-0.0395993
9.71	-0.0228592
9.72	-0.0248566
9.73	-0.00715475
9.74	0.0153452
9.75	0.0311247
9.76	0.0719575
9.77	0.108113
9.78	0.142235
9.79	0.169632
9.8	0.189195
9.81	0.206824
9.82	0.208113
9.83	0.194097
9.84	0.141611
9.85	0.0645544
9.86	0.0193957
9.87	-0.0199978
9.88	-0.0418431
9.89	-0.0473517
9.9	-0.0561655
9.91	-0.0575329
9.92	-0.0553367
9.93	-0.0390636
9.94	-0.0393319
9.95	-0.0474697
9.96	-0.0357222
9.97	-0.0461327
9.98	-0.0448645
9.99	-0.0331365
10	-0.0429187
10.01	-0.047659
10.02	-0.0520523
10.03	-0.0428095
10.04	-0.0347586
10.05	-0.0329002
10.06	-0.0222452
10.07	-0.0409277
10.08	-0.0474714
10.09	-0.0497255
10.1	-0.0638597
10.11	-0.0680234
10.12	-0.0751037
10.13	-0.0614827
10.14	-0.0639749
10.15	-0.0753356
10.16	-0.0713691
10.17	-0.0853245
10.18	-0.0791487
10.19	-0.0680413
10.2	-0.069829
10.21	-0.0696908
10.22	-0.0814245
10.23	-0.0756845
10.24	-0.0753156
10.25	-0.0950379
10.26	-0.0871049
10.27	-0.0797644
10.28	-0.0689102
10.29	-0.0729013
10.3	-0.0822766
10.31	-0.0612436
10.32	-0.0432014
10.33	-0.0167724
10.34	0.01706
10.35	0.0346009
10.36	0.0378039
10.37	0.017778
10.38	-0.00059414
10.39	-0.0222018
10.4	-0.061833
10.41	-0.0873944
10.42	-0.109287
10.43	-0.11986
10.44	-0.141858
10.45	-0.161075
10.46	-0.0761886
10.47	0.157385
10.48	0.43862
10.49	0.432446
10.5	0.169506
10.51	-0.101855
10.52	-0.245913
10.53	-0.249524
10.54	-0.204828
10.55	-0.164201
